,unit_name,report_date,unit_work,unit_parks,unit_retail,unit_grocery,unit_transit,unit_residential,subunit_name,subunit_work,subunit_parks,subunit_retail,subunit_grocery,subunit_transit,subunit_residential
0,Alabama,2020-03-29 00:00:00+00:00,-0.32,0.19,-0.41,-0.13,-0.3,,Autauga County,-0.35,-0.14,-0.42,,,0.16
2754,Alabama,2020-04-05 00:00:00+00:00,-0.36,,-0.5,-0.18,-0.4,0.12,Autauga County,-0.38,-0.14,-0.53,,,0.17
1,Alabama,2020-03-29 00:00:00+00:00,-0.32,0.19,-0.41,-0.13,-0.3,,Baldwin County,-0.32,-0.27,-0.47,-0.19,-0.24,
2755,Alabama,2020-04-05 00:00:00+00:00,-0.36,,-0.5,-0.18,-0.4,0.12,Baldwin County,-0.35,-0.44,-0.55,-0.27,-0.39,0.11
2,Alabama,2020-03-29 00:00:00+00:00,-0.32,0.19,-0.41,-0.13,-0.3,,Barbour County,-0.23,,-0.27,-0.2,,
2756,Alabama,2020-04-05 00:00:00+00:00,-0.36,,-0.5,-0.18,-0.4,0.12,Barbour County,-0.3,,-0.4,-0.2,,
3,Alabama,2020-03-29 00:00:00+00:00,-0.32,0.19,-0.41,-0.13,-0.3,,Bibb County,-0.32,,-0.25,-0.1,,
2757,Alabama,2020-04-05 00:00:00+00:00,-0.36,,-0.5,-0.18,-0.4,0.12,Bibb County,-0.35,,-0.42,-0.15,,
4,Alabama,2020-03-29 00:00:00+00:00,-0.32,0.19,-0.41,-0.13,-0.3,,Blount County,-0.29,,-0.36,,,0.15
2758,Alabama,2020-04-05 00:00:00+00:00,-0.36,,-0.5,-0.18,-0.4,0.12,Blount County,-0.33,,-0.49,-0.17,,0.14
5,Alabama,2020-03-29 00:00:00+00:00,-0.32,0.19,-0.41,-0.13,-0.3,,Bullock County,-0.24,,-0.37,-0.13,,
2759,Alabama,2020-04-05 00:00:00+00:00,-0.36,,-0.5,-0.18,-0.4,0.12,Bullock County,-0.29,,-0.22,-0.27,,
6,Alabama,2020-03-29 00:00:00+00:00,-0.32,0.19,-0.41,-0.13,-0.3,,Butler County,-0.3,,-0.37,,-0.45,
2760,Alabama,2020-04-05 00:00:00+00:00,-0.36,,-0.5,-0.18,-0.4,0.12,Butler County,-0.3,,-0.47,,-0.64,
7,Alabama,2020-03-29 00:00:00+00:00,-0.32,0.19,-0.41,-0.13,-0.3,,Calhoun County,-0.33,-0.22,-0.4,-0.17,,
2761,Alabama,2020-04-05 00:00:00+00:00,-0.36,,-0.5,-0.18,-0.4,0.12,Calhoun County,-0.36,-0.22,-0.53,-0.22,,0.11
8,Alabama,2020-03-29 00:00:00+00:00,-0.32,0.19,-0.41,-0.13,-0.3,,Chambers County,-0.28,,-0.34,,-0.12,0.13
2762,Alabama,2020-04-05 00:00:00+00:00,-0.36,,-0.5,-0.18,-0.4,0.12,Chambers County,-0.36,,-0.46,-0.12,-0.29,0.15
9,Alabama,2020-03-29 00:00:00+00:00,-0.32,0.19,-0.41,-0.13,-0.3,,Cherokee County,-0.29,,-0.24,,,
2763,Alabama,2020-04-05 00:00:00+00:00,-0.36,,-0.5,-0.18,-0.4,0.12,Cherokee County,-0.31,,-0.41,,,
10,Alabama,2020-03-29 00:00:00+00:00,-0.32,0.19,-0.41,-0.13,-0.3,,Chilton County,-0.26,,-0.41,-0.11,-0.27,0.14
2764,Alabama,2020-04-05 00:00:00+00:00,-0.36,,-0.5,-0.18,-0.4,0.12,Chilton County,-0.32,,-0.49,-0.14,-0.45,0.13
11,Alabama,2020-03-29 00:00:00+00:00,-0.32,0.19,-0.41,-0.13,-0.3,,Choctaw County,-0.28,,-0.13,-0.16,,
2765,Alabama,2020-04-05 00:00:00+00:00,-0.36,,-0.5,-0.18,-0.4,0.12,Choctaw County,-0.38,,-0.13,-0.19,,
12,Alabama,2020-03-29 00:00:00+00:00,-0.32,0.19,-0.41,-0.13,-0.3,,Clarke County,-0.27,,-0.27,-0.24,,
2766,Alabama,2020-04-05 00:00:00+00:00,-0.36,,-0.5,-0.18,-0.4,0.12,Clarke County,-0.27,,-0.4,-0.29,,
13,Alabama,2020-03-29 00:00:00+00:00,-0.32,0.19,-0.41,-0.13,-0.3,,Clay County,-0.2,,-0.33,-0.14,,
2767,Alabama,2020-04-05 00:00:00+00:00,-0.36,,-0.5,-0.18,-0.4,0.12,Clay County,-0.26,,-0.43,-0.2,,
