,unit_name,date,unit_work,unit_parks,unit_retail,unit_grocery,unit_transit,unit_residential,subunit_name,subunit_work,subunit_parks,subunit_retail,subunit_grocery,subunit_transit,subunit_residential
0,Arkansas,2020-03-29,-0.27,0.81,-0.29,,-0.22,,Arkansas County,-0.11,,-0.22,,,
1,Arkansas,2020-03-29,-0.27,0.81,-0.29,,-0.22,,Ashley County,-0.27,,-0.24,,,
2,Arkansas,2020-03-29,-0.27,0.81,-0.29,,-0.22,,Baxter County,-0.26,,-0.3,,,0.11
3,Arkansas,2020-03-29,-0.27,0.81,-0.29,,-0.22,,Benton County,-0.34,0.56,-0.36,-0.16,-0.65,
4,Arkansas,2020-03-29,-0.27,0.81,-0.29,,-0.22,,Boone County,-0.32,,-0.25,-0.17,,0.14
5,Arkansas,2020-03-29,-0.27,0.81,-0.29,,-0.22,,Bradley County,-0.37,,-0.28,-0.17,,
6,Arkansas,2020-03-29,-0.27,0.81,-0.29,,-0.22,,Carroll County,-0.27,,-0.27,0.14,,
7,Arkansas,2020-03-29,-0.27,0.81,-0.29,,-0.22,,Chicot County,-0.25,,-0.19,,,
8,Arkansas,2020-03-29,-0.27,0.81,-0.29,,-0.22,,Clark County,-0.22,,-0.33,,-0.23,
9,Arkansas,2020-03-29,-0.27,0.81,-0.29,,-0.22,,Clay County,-0.21,,,,,
10,Arkansas,2020-03-29,-0.27,0.81,-0.29,,-0.22,,Cleburne County,-0.37,,-0.16,,,
11,Arkansas,2020-03-29,-0.27,0.81,-0.29,,-0.22,,Cleveland County,-0.33,,,,,
12,Arkansas,2020-03-29,-0.27,0.81,-0.29,,-0.22,,Columbia County,-0.2,,-0.18,-0.2,,
13,Arkansas,2020-03-29,-0.27,0.81,-0.29,,-0.22,,Conway County,-0.25,,,,,
14,Arkansas,2020-03-29,-0.27,0.81,-0.29,,-0.22,,Craighead County,-0.24,-0.59,-0.32,,,
15,Arkansas,2020-03-29,-0.27,0.81,-0.29,,-0.22,,Crawford County,-0.21,,-0.16,,-0.11,0.14
16,Arkansas,2020-03-29,-0.27,0.81,-0.29,,-0.22,,Crittenden County,-0.26,,-0.15,-0.11,-0.17,0.15
17,Arkansas,2020-03-29,-0.27,0.81,-0.29,,-0.22,,Cross County,,,-0.49,0.9,,
18,Arkansas,2020-03-29,-0.27,0.81,-0.29,,-0.22,,Dallas County,-0.32,,-0.17,,,
19,Arkansas,2020-03-29,-0.27,0.81,-0.29,,-0.22,,Desha County,-0.33,,,,,
20,Arkansas,2020-03-29,-0.27,0.81,-0.29,,-0.22,,Drew County,-0.16,,-0.27,-0.1,,
21,Arkansas,2020-03-29,-0.27,0.81,-0.29,,-0.22,,Faulkner County,-0.31,-0.21,-0.32,-0.15,,
22,Arkansas,2020-03-29,-0.27,0.81,-0.29,,-0.22,,Franklin County,-0.16,,,0.12,,
23,Arkansas,2020-03-29,-0.27,0.81,-0.29,,-0.22,,Fulton County,-0.28,,,,,
24,Arkansas,2020-03-29,-0.27,0.81,-0.29,,-0.22,,Garland County,-0.32,0.17,-0.32,-0.12,,
25,Arkansas,2020-03-29,-0.27,0.81,-0.29,,-0.22,,Grant County,-0.26,,-0.1,-0.17,,
26,Arkansas,2020-03-29,-0.27,0.81,-0.29,,-0.22,,Greene County,-0.2,,-0.18,,,0.12
27,Arkansas,2020-03-29,-0.27,0.81,-0.29,,-0.22,,Hempstead County,-0.24,,-0.19,-0.13,,
28,Arkansas,2020-03-29,-0.27,0.81,-0.29,,-0.22,,Hot Spring County,-0.24,,,,-0.28,0.1
29,Arkansas,2020-03-29,-0.27,0.81,-0.29,,-0.22,,Howard County,-0.29,,,,,
30,Arkansas,2020-03-29,-0.27,0.81,-0.29,,-0.22,,Independence County,-0.24,,-0.27,,,0.13
31,Arkansas,2020-03-29,-0.27,0.81,-0.29,,-0.22,,Izard County,-0.29,,-0.24,-0.15,,
32,Arkansas,2020-03-29,-0.27,0.81,-0.29,,-0.22,,Jackson County,-0.14,,-0.1,-0.12,,
33,Arkansas,2020-03-29,-0.27,0.81,-0.29,,-0.22,,Jefferson County,-0.26,,-0.3,,-0.14,0.11
34,Arkansas,2020-03-29,-0.27,0.81,-0.29,,-0.22,,Johnson County,-0.14,-0.28,-0.24,0.12,,
35,Arkansas,2020-03-29,-0.27,0.81,-0.29,,-0.22,,Lawrence County,-0.3,,-0.19,,,
36,Arkansas,2020-03-29,-0.27,0.81,-0.29,,-0.22,,Lincoln County,-0.23,,-0.6,-0.16,,
37,Arkansas,2020-03-29,-0.27,0.81,-0.29,,-0.22,,Little River County,-0.34,,,,,
38,Arkansas,2020-03-29,-0.27,0.81,-0.29,,-0.22,,Logan County,-0.18,,,0.13,,
39,Arkansas,2020-03-29,-0.27,0.81,-0.29,,-0.22,,Lonoke County,-0.27,,-0.23,,,0.15
40,Arkansas,2020-03-29,-0.27,0.81,-0.29,,-0.22,,Madison County,-0.11,,-0.1,0.17,,
41,Arkansas,2020-03-29,-0.27,0.81,-0.29,,-0.22,,Marion County,-0.26,,,,,
42,Arkansas,2020-03-29,-0.27,0.81,-0.29,,-0.22,,Miller County,-0.32,-0.35,-0.33,-0.1,-0.24,0.12
43,Arkansas,2020-03-29,-0.27,0.81,-0.29,,-0.22,,Mississippi County,-0.15,,-0.11,,-0.18,0.1
44,Arkansas,2020-03-29,-0.27,0.81,-0.29,,-0.22,,Monroe County,-0.34,,-0.26,,,
45,Arkansas,2020-03-29,-0.27,0.81,-0.29,,-0.22,,Montgomery County,-0.33,,,,,
46,Arkansas,2020-03-29,-0.27,0.81,-0.29,,-0.22,,Nevada County,-0.21,0.8,,,-0.23,
47,Arkansas,2020-03-29,-0.27,0.81,-0.29,,-0.22,,Newton County,-0.38,,,,,
48,Arkansas,2020-03-29,-0.27,0.81,-0.29,,-0.22,,Ouachita County,-0.16,,,-0.21,,
49,Arkansas,2020-03-29,-0.27,0.81,-0.29,,-0.22,,Perry County,-0.35,,,,,
50,Arkansas,2020-03-29,-0.27,0.81,-0.29,,-0.22,,Phillips County,-0.32,,,,,
51,Arkansas,2020-03-29,-0.27,0.81,-0.29,,-0.22,,Pike County,-0.33,,-0.3,0.13,,
52,Arkansas,2020-03-29,-0.27,0.81,-0.29,,-0.22,,Poinsett County,-0.15,,,,,
53,Arkansas,2020-03-29,-0.27,0.81,-0.29,,-0.22,,Polk County,-0.25,,-0.17,,,
54,Arkansas,2020-03-29,-0.27,0.81,-0.29,,-0.22,,Pope County,-0.22,,-0.32,,-0.11,0.12
55,Arkansas,2020-03-29,-0.27,0.81,-0.29,,-0.22,,Prairie County,-0.26,,,,,
56,Arkansas,2020-03-29,-0.27,0.81,-0.29,,-0.22,,Pulaski County,-0.3,0.73,-0.35,,-0.38,
57,Arkansas,2020-03-29,-0.27,0.81,-0.29,,-0.22,,Randolph County,-0.23,,-0.22,0.12,,
58,Arkansas,2020-03-29,-0.27,0.81,-0.29,,-0.22,,Saline County,-0.33,-0.52,-0.26,-0.13,-0.1,
