county,fips,last3_m50,last3_pctchange,last3_sample,date,samples,googledate,subunit_work,subunit_parks,subunit_retail,subunit_grocery,subunit_transit,subunit_residential
Alamance County,37001,5.679667,53.666668,13539,26apr2020,210556,05apr2020,-35,39,-41,,-29,10
Alexander County,37003,9.2670002,67,4388,26apr2020,67407,05apr2020,-30.000002,,-32,13,,15.000001
Alleghany County,37005,5.3590002,49.333332,518,26apr2020,7540,05apr2020,-28,,-29,,,
Anson County,37007,10.610333,69.666664,1474,26apr2020,21789,05apr2020,-31,,-50,,,
Ashe County,37009,6.178,52.333332,1976,26apr2020,30404,05apr2020,-40,,-28,-14,,
Avery County,37011,5.2123332,46.333332,1172,26apr2020,18048,05apr2020,-36,,-57,-20,,
Beaufort County,37013,7.3673334,64,3534,26apr2020,47660,05apr2020,-29,15.000001,-31,,,14
Bertie County,37015,6.3273335,51.333332,469,26apr2020,1403,05apr2020,-20,,-52.999996,,,
Bladen County,37017,8.1870003,54,1889,26apr2020,26992,05apr2020,-28,-27.000002,-23,,,12
Brunswick County,37019,4.3893332,41,11503,26apr2020,164514,05apr2020,-36,12,-38,-17,-51,
Buncombe County,37021,3.6600001,43.666668,14947,26apr2020,222571,05apr2020,-47,-15.000001,-58,-27.000002,-77,12
Burke County,37023,6.8976665,63.333332,6891,26apr2020,104466,05apr2020,-32,11,-38,-13,,
Cabarrus County,37025,4.7576666,41.333332,24006,26apr2020,381826,05apr2020,-41,,-49,-20,-46,12
Caldwell County,37027,6.191,62.666668,7084,26apr2020,111367,05apr2020,-32,,-32,-10,,
Camden County,37029,9.5776672,78,833,26apr2020,12264,05apr2020,-40,80,,,,
Carteret County,37031,4.2626667,51.333332,5725,26apr2020,77271,05apr2020,-34,-13,-36,-16,,15.000001
Caswell County,37033,12.327,58.333332,718,26apr2020,10494,05apr2020,-40,,-28,,,
Catawba County,37035,6.3553333,63.666668,15872,26apr2020,248012,05apr2020,-33,39,-48,-19,-18,10
Chatham County,37037,6.8016667,39.333332,4126,26apr2020,59893,05apr2020,-35,,-20,-13,,19
Cherokee County,37039,4.5953331,42.666668,1842,26apr2020,27037,05apr2020,-46,,-34,-12,,
Chowan County,37041,6.2389998,44.333332,932,26apr2020,12825,05apr2020,-14,,-13,10,,
Clay County,37043,2.9006665,31.333334,745,26apr2020,10067,05apr2020,-41,,-54.000004,-12,,
Cleveland County,37045,6.7146668,59.333332,8627,26apr2020,131632,05apr2020,-31,16,-33,,,
Columbus County,37047,8.4469995,63.333332,3815,26apr2020,56513,05apr2020,-32,,-27.000002,,,13
Craven County,37049,3.9106667,53.666668,8222,26apr2020,112557,05apr2020,-35,10,-38,-10,-43,
Cumberland County,37051,2.7519999,41.666668,23572,26apr2020,343417,05apr2020,-38,,-36,-16,-41,10
Currituck County,37053,12.233,54,3128,26apr2020,44526,05apr2020,-35,,-25,,,
Dare County,37055,2.905,50.333332,3037,26apr2020,35095,05apr2020,-36,-19,-49,-28,,12
Davidson County,37057,7.7203336,61.333332,16502,26apr2020,249098,05apr2020,-33,81,-37,,-27.000002,
Davie County,37059,8.1573334,53.666668,4241,26apr2020,63993,05apr2020,-40,,-36,-12,-29,18
Duplin County,37061,10.811666,65,3733,26apr2020,51110,05apr2020,-26,,-40,,-44,13
Durham County,37063,1.163,16,15432,26apr2020,231626,05apr2020,-45,,-49,-21,-31,13
Edgecombe County,37065,6.6199999,49,2199,26apr2020,29585,05apr2020,-32,,-11,,,14
Forsyth County,37067,3.5986667,41.666668,25323,26apr2020,387268,05apr2020,-40,44,-43,-21,-13,11
Franklin County,37069,10.755667,62.666668,4342,26apr2020,62898,05apr2020,-39,,-23,,,17
Gaston County,37071,5.8803334,52.333332,26654,26apr2020,421656,05apr2020,-37,,-40,-20,,10
Gates County,37073,13.607,53,744,26apr2020,9666,05apr2020,-27.000002,,,,,
Granville County,37077,9.6986666,52.333332,4865,26apr2020,72501,05apr2020,-34,,-26,-15.000001,,17
Greene County,37079,12.429,76.666664,1128,26apr2020,14506,05apr2020,-24,-17,-41,,,
Guilford County,37081,3.1086667,36,39597,26apr2020,615514,05apr2020,-39,20,-45,-21,-41,11
